Commodity,Year,Attribute,Value,Notes
Fruits and vegetables (fresh weight equivalent): Per capita availability,1991,Fruit-Fresh-Pounds,113.0325911,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1992,Fruit-Fresh-Pounds,124.2911893,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1993,Fruit-Fresh-Pounds,123.3034637,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1994,Fruit-Fresh-Pounds,125.3193873,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Fresh-Pounds,123.4098582,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Fresh-Pounds,126.6533516,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Fresh-Pounds,130.2329179,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Fresh-Pounds,129.4223447,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Fresh-Pounds,130.5069568,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Fresh-Pounds,128.7073604,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2001,Fruit-Fresh-Pounds,125.9221706,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2002,Fruit-Fresh-Pounds,127.0972394,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2003,Fruit-Fresh-Pounds,128.1767527,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2004,Fruit-Fresh-Pounds,127.8378157,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2005,Fruit-Fresh-Pounds,125.2728462,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2006,Fruit-Fresh-Pounds,127.9087865,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2007,Fruit-Fresh-Pounds,123.6024734,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2008,Fruit-Fresh-Pounds,126.6876466,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2009,Fruit-Fresh-Pounds,123.9602006,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2010,Fruit-Fresh-Pounds,128.5692071,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2011,Fruit-Fresh-Pounds,129.4159355,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2012,Fruit-Fresh-Pounds,131.7327918,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2013,Fruit-Fresh-Pounds,136.4043275,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2014,Fruit-Fresh-Pounds,136.4128344,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2015,Fruit-Fresh-Pounds,136.0305995,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2016,Fruit-Fresh-Pounds,141.5666879,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2017,Fruit-Fresh-Pounds,142.1471563,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2018,Fruit-Fresh-Pounds,139.6389105,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2019,Fruit-Fresh-Pounds,138.7953044,"Includes apples, apricots, avocados, bananas, cherries, cantaloupe, cranberries, grapes, grapefruit, honeydew, kiwifruit, lemons, limes, mangoes, nectarines, oranges, papayas, peaches, pears, pineapples, plums, prunes, strawberries, tangelos, tangerines, temples, and watermelon."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Canning-Pounds,26.19103939,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1971,Fruit-Processing-Canning-Pounds,26.54621269,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1972,Fruit-Processing-Canning-Pounds,24.16588977,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1973,Fruit-Processing-Canning-Pounds,24.49103534,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1974,Fruit-Processing-Canning-Pounds,24.02683461,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1975,Fruit-Processing-Canning-Pounds,23.52269432,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1976,Fruit-Processing-Canning-Pounds,23.36354603,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1977,Fruit-Processing-Canning-Pounds,24.40685242,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1978,Fruit-Processing-Canning-Pounds,24.05047016,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1979,Fruit-Processing-Canning-Pounds,25.03323372,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1980,Fruit-Processing-Canning-Pounds,24.60194114,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1981,Fruit-Processing-Canning-Pounds,20.97184847,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1982,Fruit-Processing-Canning-Pounds,22.06184784,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1983,Fruit-Processing-Canning-Pounds,20.10546433,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1984,Fruit-Processing-Canning-Pounds,19.70483571,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1985,Fruit-Processing-Canning-Pounds,20.86518225,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1986,Fruit-Processing-Canning-Pounds,21.1222992,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1987,Fruit-Processing-Canning-Pounds,20.97160551,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1988,Fruit-Processing-Canning-Pounds,20.76605351,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1989,Fruit-Processing-Canning-Pounds,21.52109245,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1990,Fruit-Processing-Canning-Pounds,21.05007376,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1991,Fruit-Processing-Canning-Pounds,19.78941846,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1992,Fruit-Processing-Canning-Pounds,22.81076552,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1993,Fruit-Processing-Canning-Pounds,20.62003469,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1994,Fruit-Processing-Canning-Pounds,20.75903245,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1995,Fruit-Processing-Canning-Pounds,17.33755326,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1996,Fruit-Processing-Canning-Pounds,18.58553758,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1997,Fruit-Processing-Canning-Pounds,20.10186901,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1998,Fruit-Processing-Canning-Pounds,17.06748329,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1999,Fruit-Processing-Canning-Pounds,19.32925167,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2000,Fruit-Processing-Canning-Pounds,17.60118519,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2001,Fruit-Processing-Canning-Pounds,17.76816302,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2002,Fruit-Processing-Canning-Pounds,16.87187389,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2003,Fruit-Processing-Canning-Pounds,17.37966896,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2004,Fruit-Processing-Canning-Pounds,17.02765708,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2005,Fruit-Processing-Canning-Pounds,16.70549136,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2006,Fruit-Processing-Canning-Pounds,15.58473928,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2007,Fruit-Processing-Canning-Pounds,16.12925302,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2008,Fruit-Processing-Canning-Pounds,15.71841511,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2009,Fruit-Processing-Canning-Pounds,15.55482225,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2010,Fruit-Processing-Canning-Pounds,14.98096058,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2011,Fruit-Processing-Canning-Pounds,14.22320602,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2012,Fruit-Processing-Canning-Pounds,13.29891401,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2013,Fruit-Processing-Canning-Pounds,15.22310414,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2014,Fruit-Processing-Canning-Pounds,13.81068528,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2015,Fruit-Processing-Canning-Pounds,14.41244354,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2016,Fruit-Processing-Canning-Pounds,13.72854585,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2017,Fruit-Processing-Canning-Pounds,13.44654345,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2018,Fruit-Processing-Canning-Pounds,12.08395206,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,2019,Fruit-Processing-Canning-Pounds,12.3978474,"Includes apples, applesauce, apricots, cherries, olives, peaches, pears, pineapples, plums, and prunes."
Fruits and vegetables (fresh weight equivalent): Per capita availability,1970,Fruit-Processing-Freezing-Pounds,3.876882449,"Includes apples, apricots, blackberries, blueberries, boysenberries, cherries, loganberries, peaches, plums, prunes, raspberries, strawberries, and other miscellaneous fruit and berries."
